0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/s5.jpg HTTP/1.1" 200 9375
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/s3.jpg HTTP/1.1" 200 20285
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/s2.jpg HTTP/1.1" 200 9483
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/s11.jpg HTTP/1.1" 200 23230
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/gt1.png HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/gt2.png HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/gt3.png HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/gt4.png HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/foot1.png HTTP/1.1" 200 2514
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/foot2.png HTTP/1.1" 200 2662
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/foot3.png HTTP/1.1" 200 2925
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/foot4.png HTTP/1.1" 200 2820
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/js/jquery-1.12.4.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/js/public.js HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/js/nav.js HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/js/jquery.flexslider-min.js HTTP/1.1" 200 16233
